Stud Qu1 Qu2 Qu3 Qu4 Qu5 
1234 052 007 100 078 034 
2134 090 036 090 077 030 
3124 100 045 020 090 070 
4532 011 017 081 032 077 
5678 020 012 045 078 034 
6134 034 080 055 078 045 
7874 060 100 056 078 078 
8026 070 010 066 078 056 
9893 034 009 077 078 020 
1947 045 040 088 078 055 
2877 055 050 099 078 080 
3189 022 070 100 078 077 
4602 089 050 091 078 060 
5405 011 011 000 078 010 
6999 000 098 089 078 020 
5555 052 007 100 078 034 
6666 090 036 090 077 030 
7777 100 045 020 090 070 
8888 011 017 081 032 077 
9999 020 012 045 078 034 
0000 034 080 055 078 045 
1356 060 100 056 078 078 
5613 070 010 066 078 056 
4789 034 009 077 078 020 
8974 045 040 088 078 055 
1423 055 050 099 078 080 
2314 022 070 100 078 077 
2311 089 050 091 078 060 
2312 011 011 000 078 010 
2313 000 098 089 078 020
2315 052 007 100 078 034 
2316 090 036 090 077 030 
2317 100 045 020 090 070 
2318 011 017 081 032 077 
2319 020 012 045 078 034 
2320 034 080 055 078 045 
2321 060 100 056 078 078 
2322 070 010 066 078 056 
2323 034 009 077 078 020 
2324 045 040 088 078 055 

